chr	start	end
m_chr1_1	chr1	1	110230
m_chr1_2	chr1	163401	827472
m_chr1_3	chr1	832219	2541964
m_chr1_4	chr1	2550768	3047251
m_chr1_5	chr1	3079179	3137165
m_chr1_6	chr1	3501126	5600947
m_chr1_7	chr1	5652385	6532518
m_chr1_8	chr1	6594643	7176875
m_chr1_9	chr1	7853040	7954547
m_chr1_10	chr1	7954604	8107179
m_chr1_11	chr1	8137951	11515537
m_chr1_12	chr1	11568600	13104762
m_chr1_13	chr1	13523177	18197950
m_chr1_14	chr1	18206008	18800052
m_chr1_15	chr1	19729502	23319688
m_chr1_16	chr1	24205965	24260682
m_chr1_17	chr1	24359188	24881579
m_chr1_18	chr1	26797066	28851771
m_chr1_19	chr1	29510892	30007592
m_chr1_20	chr1	30147751	33631610
m_chr1_21	chr1	33733418	34580028
m_chr1_22	chr1	34670852	34703640
m_chr1_23	chr1	35440719	36359684
m_chr1_24	chr1	36408934	36615380
m_chr1_25	chr1	36896054	36957523
m_chr1_26	chr1	36960797	37759950
m_chr1_27	chr1	37760648	38452524
m_chr1_28	chr1	40022563	44551050
m_chr1_29	chr1	46236060	46973747
m_chr1_30	chr1	47030100	47052418
m_chr1_31	chr1	47339405	48068466
m_chr1_32	chr1	48071297	48447939
m_chr1_33	chr1	48497480	50794273
m_chr1_34	chr1	50972764	51556755
m_chr1_35	chr1	51557445	51600156
m_chr1_36	chr1	51619478	53497375
m_chr1_37	chr1	53658046	54665093
m_chr1_38	chr1	54688644	57127293
m_chr1_39	chr1	57234290	57267973
m_chr1_40	chr1	57364164	57880154
m_chr1_41	chr1	58025427	60195889
m_chr1_42	chr1	60242892	60310769
m_chr1_43	chr1	60312162	63686238
m_chr1_44	chr1	63691055	64285692
m_chr1_45	chr1	64400402	70114052
m_chr1_46	chr1	70149486	70217562
m_chr1_47	chr1	72067323	73056595
m_chr1_48	chr1	73258081	73544238
m_chr1_49	chr1	73746714	73763432
m_chr1_50	chr1	73767014	74842218
m_chr1_51	chr1	75109032	77030721
m_chr1_52	chr1	77161807	77208484
m_chr1_53	chr1	77878351	78011774
m_chr1_54	chr1	78136356	78153814
m_chr1_55	chr1	78460829	79161782
m_chr1_56	chr1	80973139	81074808
m_chr1_57	chr1	81105788	81309486
m_chr1_58	chr1	81885929	84191765
m_chr1_59	chr1	84193906	85299369
m_chr1_60	chr1	85348396	86123862
m_chr1_61	chr1	86137929	86264783
m_chr1_62	chr1	86305900	87579185
m_chr1_63	chr1	87583071	88029243
m_chr1_64	chr1	88273661	89003510
m_chr1_65	chr1	89004700	89986066
m_chr1_66	chr1	90001242	90049505
m_chr1_67	chr1	90050469	90914544
m_chr1_68	chr1	91125686	92621963
m_chr1_69	chr1	92630664	92699442
m_chr1_70	chr1	92748602	93067342
m_chr1_71	chr1	93068408	93077433
m_chr1_72	chr1	93078672	94894080
m_chr1_73	chr1	94952101	95540120
m_chr1_74	chr1	95544148	96634377
m_chr1_75	chr1	96686785	96851372
m_chr1_76	chr1	96854042	96906336
m_chr1_77	chr1	96906482	101473432
m_chr1_78	chr1	101489516	101507117
m_chr1_79	chr1	101509349	109440686
m_chr1_80	chr1	109490393	112058898
m_chr1_81	chr1	112120934	113727011
m_chr1_82	chr1	113731294	118651807
m_chr1_83	chr1	118855483	120906724
m_chr1_84	chr1	121323618	121605552
m_chr1_85	chr1	121605804	121640027
m_chr1_86	chr1	121804018	122118555
m_chr1_87	chr1	122139451	122608351
m_chr1_88	chr1	122622169	122711147
m_chr1_89	chr1	122713143	126617197
m_chr1_90	chr1	126617663	129646596
m_chr1_91	chr1	129659572	130315415
m_chr1_92	chr1	130339609	132153665
m_chr1_93	chr1	132153707	132165647
m_chr1_94	chr1	132165660	132199170
m_chr1_95	chr1	132316603	133760612
m_chr1_96	chr1	133761207	134870686
m_chr1_97	chr1	135022417	135639748
m_chr1_98	chr1	135640602	136901276
m_chr1_99	chr1	137299053	139817759
m_chr1_100	chr1	139916169	141215627
m_chr1_101	chr1	141227094	142001798
m_chr1_102	chr1	142035914	142160674
m_chr1_103	chr1	142179733	143404058
m_chr1_104	chr1	143881031	144586870
m_chr1_105	chr1	144603309	144734918
m_chr1_106	chr1	144746285	144858503
m_chr1_107	chr1	144882936	145178225
m_chr1_108	chr1	145193337	146644807
m_chr1_109	chr1	146785846	149904976
m_chr1_110	chr1	149940055	151355503
m_chr1_111	chr1	151355868	152306520
m_chr1_112	chr1	152306669	152911927
m_chr1_113	chr1	152914152	153533906
m_chr1_114	chr1	153682251	155775931
m_chr1_115	chr1	156165401	163323328
m_chr1_116	chr1	163383566	165314380
m_chr1_117	chr1	165482858	165917733
m_chr1_118	chr1	165938968	166977124
m_chr1_119	chr1	166977652	167638243
m_chr1_120	chr1	167640110	168743183
m_chr1_121	chr1	168744289	170087438
m_chr1_122	chr1	170181733	174063863
m_chr1_123	chr1	175633810	175991371
m_chr1_124	chr1	176007907	177417553
m_chr1_125	chr1	177526507	177803479
m_chr1_126	chr1	177848461	180986745
m_chr1_127	chr1	181040179	181860322
m_chr1_128	chr1	182149985	182375891
m_chr1_129	chr1	182417284	183042997
m_chr1_130	chr1	183287472	183396292
m_chr1_131	chr1	184521868	191544600
m_chr1_132	chr1	191859842	192434449
m_chr1_133	chr1	192503175	192832890
m_chr1_134	chr1	192972931	192980178
m_chr1_135	chr1	193328520	193834352
m_chr1_136	chr1	193835374	195803875
m_chr1_137	chr1	195832904	196555622
m_chr1_138	chr1	196664647	198181322
m_chr1_139	chr1	200088752	201483356
m_chr1_140	chr1	201485452	202705471
m_chr1_141	chr1	202713180	204717244
m_chr1_142	chr1	204720632	205263368
m_chr1_143	chr1	205471419	207026374
m_chr1_144	chr1	207791236	209487769
m_chr1_145	chr1	209525705	209712222
m_chr1_146	chr1	210344948	212621201
m_chr1_147	chr1	212660424	214984912
m_chr1_148	chr1	214991329	217375997
m_chr1_149	chr1	217451778	221037555
m_chr1_150	chr1	221043277	221066918
m_chr1_151	chr1	221068714	221131313
m_chr1_152	chr1	221131399	221281974
m_chr1_153	chr1	221300904	221602009
m_chr1_154	chr1	221649229	222042101
m_chr1_155	chr1	222062182	222260733
m_chr1_156	chr1	222457596	223679086
m_chr1_157	chr1	224207663	227609180
m_chr1_158	chr1	227617342	227691504
m_chr1_159	chr1	227693171	228485214
m_chr1_160	chr1	228746764	231303462
m_chr1_161	chr1	231310798	231543346
m_chr1_162	chr1	231586320	232741191
m_chr1_163	chr1	232800324	233366788
m_chr1_164	chr1	233379307	233742636
m_chr1_165	chr1	233816881	234358797
m_chr1_166	chr1	234416640	234866980
m_chr1_167	chr1	234902490	234994932
m_chr1_168	chr1	234998526	235780599
m_chr1_169	chr1	235780823	235785235
m_chr1_170	chr1	237138716	238167122
m_chr1_171	chr1	238189355	238828725
m_chr1_172	chr1	238830212	239067643
m_chr1_173	chr1	239172262	239664266
m_chr1_174	chr1	239686675	240409624
m_chr1_175	chr1	240411966	242514851
m_chr1_176	chr1	242532771	245330653
m_chr1_177	chr1	245346609	245616597
m_chr1_178	chr1	245648595	247283432
m_chr1_179	chr1	247695584	247797306
m_chr1_180	chr1	247852022	249931758
m_chr1_181	chr1	249993821	251539888
m_chr1_182	chr1	251546324	251640282
m_chr1_183	chr1	251645556	251674697
m_chr1_184	chr1	251700306	251740805
m_chr1_185	chr1	251776585	252502525
m_chr1_186	chr1	252503934	253352780
m_chr1_187	chr1	254392303	254470749
m_chr1_188	chr1	254471180	255418258
m_chr1_189	chr1	255425631	255798840
m_chr1_190	chr1	255870737	256530057
m_chr1_191	chr1	258023915	258853452
m_chr1_192	chr1	259234474	259268726
m_chr1_193	chr1	259317412	259975497
m_chr1_194	chr1	260466789	264359656
m_chr1_195	chr1	264537563	266783063
m_chr1_196	chr1	266783642	266955680
m_chr1_197	chr1	266956813	268205243
m_chr1_198	chr1	268422367	270317430
m_chr1_199	chr1	272678026	274893599
m_chr1_200	chr1	274927836	275110057
m_chr1_201	chr1	275129655	275145456
m_chr1_202	chr1	275169091	276221077
m_chr1_203	chr1	276692026	276838660
m_chr1_204	chr1	279202240	279793152
m_chr1_205	chr1	280141359	281370783
m_chr1_206	chr1	281398951	281764326
m_chr1_207	chr1	281776073	281843453
m_chr1_208	chr1	281923220	282465601
m_chr1_209	chr1	282467817	283806152
m_chr1_210	chr1	284040441	284058027
m_chr1_211	chr1	284530122	285234629
m_chr1_212	chr1	285521411	285901375
